sentence,predicted_label,actual_label
our dpo for company_14975 ltd is name_31422 (practice manager at company_52805) who can assist with the following:,1,1
our gdpr and customer relations team will be available to answer any questions you have on 37828 662494 or email generic_268@email_97.domain and put gdpr as the subject.,1,1
our privacy officer is name_44914.,1,1
please contact name_86397 in writing if you wish to invoke any of your individual rights regarding data protection as laid out by the gdpr.,1,1
please contact the data officer (email generic_937@email_85.domain) for any issues regarding your personal data.,1,1
please contact us [link: company and data protection officer] if you would like to request to see a copy of the specific safeguards applied to the export of your information.,1,1
please submit your application for a review in writing to the data protection officer at the above address.,1,1
please use the contact details at the end of this policy if you would like to exercise this right.,1,1
"questions regarding this policy and our privacy practices should be sent by email to generic_745@email_99.domain or by writing to company_06187, address_52001",1,1
"questions, comments and requests regarding this privacy policy are 
welcomed and should be addressed to company_05681, 0917 address_37143, united kingdom.",1,1
"questions, comments and requests regarding this privacy policy are welcomed and should be addressed to generic_734@email_83.domain",1,1
"questions, comments and requests regarding this privacy policy are welcomed and should be addressed to name_95331 at: generic_664@email_28.domain",1,1
"requests may be sent, in writing, to company_62991, via address_70124 or via email to generic_350@email_70.domain",1,1
"requests to access, rectify, or delete personal information can be made to the chamber team at generic_733@email_51.domain",1,1
right of erasure – such requests should be directed to generic_000@email_59.domain from the email address registered on our database (in order to confirm identity).,1,1
right to restrict processing – users should submit requests to generic_347@email_74.domain,1,1
she can be contacted by telephone on 1617 844 0373 or 3754 630 2773 or by email at this email address is being protected from spambots.,1,1
"should you wish to contact our data protection point of contact you can do so using the contact details noted at paragraph 50 (contact us), below.",1,1
"subject to certain limitations on certain rights, you have the following rights in relation to your information, which you can exercise by writing to ​address_35557, leeds, ls64 8lg or sending an email to generic_398@email_00.domain:",1,1
tel: +90 (9)4756 210591 | email: generic_735@email_14.domain | generic_180@email_07.domain,1,1
the chamber’s data protection officer can be contacted on 1998 479 9348 or by email to,1,1
"the contact details for the information commissioner’s office, the data protection regulator in the uk, are below:",1,1
the controller’s data protection officer is:,1,1
the data protection contact point is: tel: 53342 – 965056,1,1
"the data protection office may be contacted at company_54492 limited, address_52364",1,1
the data protection officer is name_72276 who can be contacted by emailing name_88799 generic_458@email_07.domain: .,1,1
the data protection officer may be contacted at the peterborough address or by emailing generic_963@email_70.domain,1,1
"the external data protection officer, ms. name_23246, street_64014",1,1
the ico’s  contact details are as follows: telephone - 3377 631 7544 (local rate) or 66238 031 812,1,1
"the national directorate for personal data protection, control organ of act 79,159, has the power to hear all claims made in relation to non-compliance with personal data protection regulations.” if you wish to access your data, please contact us using the contact information listed below.",1,1
the same email address may be used to contact the university's data protection officer.,1,1
the user can exercise the rights present in the following section by contacting our data protection lead at …....,1,1
"thereafter you have the right to submit a complaint to the supervisory authority, the information commissioner’s office (ico): the information commissioner’s office",1,1
"to contact us about anything to do with your personal data and data protection, including to make a subject access request, please use the following details (for the attention of name_32818): telephone number: 67493 757241",1,1
"to do so, please contact our data protection officer using email:generic_530@email_32.domain",1,1
"to exercise your rights, contact company_12193’s eu data protection officer
  and/or submit your privacy inquiry please go to https://07_generic.373_url.domainl and select
  “privacy inquiry” or via postal letter to street_99740 07, 44039
  wiesbaden, germany (attention: eu dpo).",1,1
"to make
                                    an erasure request, contact generic_363@email_34.domain",1,1
"to make a request for your personal information, contact mrs name_0611, head teacher (generic_053@email_89.domain / the data protection officer, name_1491, on generic_749@email_83.domain .",1,1
"to make a request for your personal information, or be given access to your child’s educational record, contact mrs name_53143, head teacher (generic_550@email_49.domain / the data protection officer, name_73391, on generic_372@email_53.domain .",1,1
"to make enquiries, exercise any of your rights set out above, or withdraw your consent to the processing of your data (where consent is our legal basis for processing your data), please contact us via this e-mail address: generic_699@email_05.domain",1,1
"to request that your information is deleted or if you wish to restrict or object to the processing of your information, please contact us via 02513 861441 or generic_155@email_21.domain",1,1
"to withdraw your consent, please email our data protection point of contact, hazel wells, at generic_237@email_87.domain",1,1
we have a data protection compliance team who can be contacted on generic_032@email_57.domain,1,1
we have appointed a data protection officer (dpo) who is responsible for overseeing questions in relation to this privacy notice.,1,1
"we have appointed a data protection officer (dpo), who is responsible for overseeing questions in relation to this privacy notice.",1,1
"write to: the data protection team, address_86435",1,1
"you can also contact company_12312’s eu data protection officer by sending
  an email to generic_141@email_45.domain or writing to address_21864 (attention: eu dpo).",1,1
"you can ask to see the information we have about you by e-mailing a request to our data manager, generic_550@email_26.domain",1,1
"you can ask us to rectify or update your personal information at any time by email to generic_194@email_96.domain or by writing to the data protection officer, company_98454 limited, address_79805.",1,1
you can ask us to stop sending you marketing messages at any time by contacting our dpo at any time via email: generic_932@email_45.domain,1,1
"you can complain directly to the council’s data protection officer by writing to: data protection officer, information governance service, company_87634, municipal building, widnes wa2",1,1
you can contact her at generic_781@email_78.domain or via our postal address.,1,1
you can contact the data controller by writing to the above address or sending an email to generic_761@email_66.domain,1,1
you can contact us by sending an e-mail to:  generic_395@email_06.domain or writing to the following address ; data protection officer company_90771 796-179.,1,1
you can do this by writing to our data protection officer by email at generic_022@email_31.domain,1,1
"you can e-mail us, and our data protection officer at generic_916@email_86.domain",1,1
"you can inform us of your enquiry via emailing generic_224@email_94.domain (marked for the attention of the data protection officer) or in writing to data protection officer, company_12276 ltd, address_57031",1,1
"you can let us know if you would prefer not to receive these communications at any time by emailing generic_700@email_00.domain calling us on 1688 9814 500, or writing to our data protection officer at generic_280@email_67.domain",1,1
you can make a complaint to the ico via their website (https://09_generic.833_url.domain or by calling their helpline (3562 655 2449).,1,1
"you can object to our carrying out this kind of activity for fundraising purposes by emailing generic_896@email_98.domain, and we will review our basis for doing so in your case.",1,1
"you can object to us profiling you by writing to our data protection officer at company_85577 cancer support, address_69565 or by email at generic_746@email_07.domain",1,1
"you can object to us using your information in this way by writing to generic_342@email_55.domain or fao data protection lead, company_89328, address_63150",1,1
"you can request access to any information we hold about you by contacting our data protection officer at company_05029 cancer support, address_23924, london se0 3uq, email generic_307@email_34.domain",1,1
you can unsubscribe at any time by clicking the unsubscribe link at the bottom of our email or by emailing our data protection officer name_6088 at generic_132@email_59.domain please confirm which mailing list you would like to be removed from if you have signed up to multiple.,1,1
you can unsubscribe to general mailings at any time of the day or night by clicking the unsubscribe link at the bottom of any of our emails or by emailing our data protection officer name_0552.,1,1
you can view or update the personal information held in relation to you by company_73522 by contacting us on generic_421@email_51.domain,1,1
you have the right to lodge a complaint with the information commissioner’s office (the supervisory authority for data protection) on 7206 977 8701.,1,1
"you have the right to make a complaint at any time to the information commissioner’s office (ico), the uk supervisory authority for data protection issues (https://64_generic.162_url.domain",1,1
you have the right to opt out of our processing your personal data for marketing purposes by contacting us at generic_528@email_52.domain,1,1
"you may also contact our data protection officer by using the email address above or by postal mail at the following address: company_34386 corporation, the mountain, framingham, ma 00135.",1,1
you may also contact the university's information compliance team at generic_974@email_71.domain,1,1
you may request details of personal information which we hold about you by contacting generic_125@email_41.domain,1,1
your request for this information should be emailed to generic_135@email_45.domain and will be acted upon within 19 days of receipt.,1,1
